epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2282.09,1.30944,0.79355,0.96989,0.74751,0.000274944,0.000274944,0.000274944
2,4530.2,0.73557,0.82581,0.97634,0.49459,0.00054714,0.00054714,0.00054714
3,6778.99,0.57767,0.74409,0.97849,0.93582,0.000813838,0.000813838,0.000813838
4,8991.74,0.54873,0.83441,0.98065,0.49084,0.00080826,0.00080826,0.00080826
5,11302.6,0.5058,0.89892,0.9871,0.35464,0.000800013,0.000800013,0.000800013
6,13586.3,0.40211,0.87097,0.9914,0.40933,0.000791767,0.000791767,0.000791767
7,15846.4,0.3544,0.92258,0.9914,0.34639,0.00078352,0.00078352,0.00078352
8,18126.2,0.28511,0.91828,0.9914,0.27722,0.000775273,0.000775273,0.000775273
9,20397.4,0.24777,0.90753,0.9871,0.27885,0.000767026,0.000767026,0.000767026
10,22653.2,0.26192,0.92473,0.9871,0.27501,0.00075878,0.00075878,0.00075878
11,24922.7,0.24628,0.92903,0.99785,0.26153,0.000750533,0.000750533,0.000750533
12,27160.4,0.21061,0.92043,0.9957,0.27177,0.000742286,0.000742286,0.000742286
13,29430,0.18347,0.91828,0.99355,0.38921,0.00073404,0.00073404,0.00073404
14,31723.6,0.19338,0.92258,0.9957,0.21709,0.000725793,0.000725793,0.000725793
15,34006.8,0.16655,0.90753,0.99355,0.27836,0.000717546,0.000717546,0.000717546
16,36332.9,0.14688,0.94194,0.9914,0.26921,0.000709299,0.000709299,0.000709299
17,38570.1,0.14042,0.92473,0.9914,0.28751,0.000701053,0.000701053,0.000701053
18,40727.5,0.13579,0.91828,0.99785,0.34516,0.000692806,0.000692806,0.000692806
19,42984.1,0.14771,0.91828,0.9871,0.32437,0.000684559,0.000684559,0.000684559
20,45216.9,0.12892,0.93763,0.99355,0.23393,0.000676313,0.000676313,0.000676313
21,47394.6,0.09571,0.92473,0.9914,0.27742,0.000668066,0.000668066,0.000668066
22,49668.7,0.12277,0.93548,0.9914,0.27034,0.000659819,0.000659819,0.000659819
23,51843.9,0.09551,0.94839,0.9914,0.28859,0.000651573,0.000651573,0.000651573
24,54009,0.08095,0.93763,0.99355,0.26019,0.000643326,0.000643326,0.000643326
25,56255.9,0.07786,0.93763,0.9914,0.24613,0.000635079,0.000635079,0.000635079
26,58489.6,0.0703,0.93118,0.98925,0.29586,0.000626832,0.000626832,0.000626832
27,60697.5,0.08181,0.93333,0.99355,0.34211,0.000618586,0.000618586,0.000618586
28,62957.3,0.09041,0.93118,0.9914,0.33395,0.000610339,0.000610339,0.000610339
29,65197.2,0.0542,0.94194,0.99355,0.32019,0.000602092,0.000602092,0.000602092
30,67401.2,0.05494,0.94624,0.99355,0.30527,0.000593846,0.000593846,0.000593846
31,69596.3,0.06265,0.94194,0.9957,0.372,0.000585599,0.000585599,0.000585599
32,71875.5,0.06496,0.93548,0.9914,0.32927,0.000577352,0.000577352,0.000577352
33,74218.8,0.0584,0.94409,0.9871,0.31035,0.000569106,0.000569106,0.000569106
