epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2228.66,1.37587,0.74194,0.95699,0.82687,0.00025382,0.00025382,0.00025382
2,4421.38,0.74014,0.80645,0.98495,0.54533,0.000505103,0.000505103,0.000505103
3,6588.66,0.60132,0.80645,0.97419,0.62397,0.00075131,0.00075131,0.00075131
4,8777.84,0.54802,0.85591,0.9871,0.40998,0.000746161,0.000746161,0.000746161
5,10980.2,0.44228,0.88172,0.9914,0.32662,0.000738548,0.000738548,0.000738548
6,13228.4,0.40418,0.91398,0.9871,0.34993,0.000730935,0.000730935,0.000730935
7,15559.3,0.3309,0.85591,0.97849,0.45735,0.000723321,0.000723321,0.000723321
8,17882.4,0.28836,0.90538,0.99355,0.30947,0.000715708,0.000715708,0.000715708
9,20210.6,0.25097,0.91398,0.9914,0.28482,0.000708095,0.000708095,0.000708095
10,22553.5,0.21856,0.89892,0.9914,0.31703,0.000700482,0.000700482,0.000700482
11,24870.7,0.216,0.91398,0.99355,0.2896,0.000692869,0.000692869,0.000692869
12,27175.6,0.21807,0.89462,0.9914,0.35426,0.000685256,0.000685256,0.000685256
13,29494.6,0.21537,0.91828,0.9871,0.36047,0.000677643,0.000677643,0.000677643
14,31788,0.1887,0.92258,0.99355,0.32867,0.00067003,0.00067003,0.00067003
15,33993.4,0.14433,0.93118,0.9871,0.26186,0.000662417,0.000662417,0.000662417
16,36194.7,0.1449,0.93978,0.9957,0.25572,0.000654804,0.000654804,0.000654804
17,38376.5,0.12117,0.93763,0.9957,0.20833,0.00064719,0.00064719,0.00064719
18,40524.4,0.09536,0.93118,0.99355,0.26339,0.000639577,0.000639577,0.000639577
19,42635.6,0.11271,0.93548,0.99785,0.29218,0.000631964,0.000631964,0.000631964
20,44792.4,0.09871,0.94624,0.9957,0.29798,0.000624351,0.000624351,0.000624351
21,46931.2,0.10284,0.91398,0.98925,0.34715,0.000616738,0.000616738,0.000616738
22,49124.9,0.08463,0.93978,0.9957,0.32223,0.000609125,0.000609125,0.000609125
23,51294.2,0.08544,0.92688,0.99355,0.40431,0.000601512,0.000601512,0.000601512
24,53437.3,0.08937,0.93763,0.99785,0.27092,0.000593899,0.000593899,0.000593899
25,55588.9,0.06881,0.94624,0.99785,0.30816,0.000586286,0.000586286,0.000586286
26,57741.6,0.07657,0.93763,0.9957,0.36817,0.000578672,0.000578672,0.000578672
27,59895.5,0.08183,0.93118,0.99785,0.23176,0.000571059,0.000571059,0.000571059
28,62061.4,0.06979,0.93978,0.9957,0.27644,0.000563446,0.000563446,0.000563446
29,64217.5,0.07231,0.93763,0.99355,0.26765,0.000555833,0.000555833,0.000555833
30,66376.4,0.05871,0.93978,0.9957,0.26747,0.00054822,0.00054822,0.00054822
31,68511.9,0.05602,0.94194,0.9957,0.2628,0.000540607,0.000540607,0.000540607
32,70674.4,0.04446,0.94194,0.9914,0.31119,0.000532994,0.000532994,0.000532994
33,72837,0.04159,0.93333,0.9957,0.38587,0.000525381,0.000525381,0.000525381
34,75013.6,0.04547,0.93763,0.9957,0.28653,0.000517768,0.000517768,0.000517768
35,77204.9,0.04704,0.94194,0.9957,0.29805,0.000510155,0.000510155,0.000510155
