epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,822.864,1.80158,0.50743,0.93631,1.36978,0.000254142,0.000254142,0.000254142
2,1645.82,1.31016,0.58811,0.95329,1.13167,0.000505422,0.000505422,0.000505422
3,2462.21,1.21914,0.62208,0.96603,1.02368,0.000751626,0.000751626,0.000751626
4,3277.56,1.16343,0.67304,0.96603,0.93058,0.000746161,0.000746161,0.000746161
5,4104.54,1.086,0.63907,0.97452,0.95157,0.000738548,0.000738548,0.000738548
6,4923.35,1.04088,0.67516,0.97665,0.87417,0.000730935,0.000730935,0.000730935
7,5747.61,1.01549,0.6879,0.97665,0.80628,0.000723321,0.000723321,0.000723321
8,6583.64,1.03009,0.72399,0.98089,0.77003,0.000715708,0.000715708,0.000715708
9,7420.67,0.95292,0.74735,0.97877,0.73763,0.000708095,0.000708095,0.000708095
10,8271.35,0.92608,0.74735,0.98301,0.74507,0.000700482,0.000700482,0.000700482
11,9136.13,0.90111,0.76858,0.98514,0.68574,0.000692869,0.000692869,0.000692869
12,10010.8,0.89813,0.77495,0.98938,0.65477,0.000685256,0.000685256,0.000685256
13,10883.5,0.89964,0.76858,0.97877,0.67487,0.000677643,0.000677643,0.000677643
14,11756.2,0.85588,0.78344,0.98938,0.6143,0.00067003,0.00067003,0.00067003
15,12600.8,0.84233,0.77495,0.98938,0.64676,0.000662417,0.000662417,0.000662417
16,13431,0.82263,0.7707,0.99151,0.69471,0.000654804,0.000654804,0.000654804
17,14274,0.79798,0.79193,0.98514,0.62184,0.00064719,0.00064719,0.00064719
18,15086.6,0.77691,0.77282,0.98514,0.66846,0.000639577,0.000639577,0.000639577
19,15927.4,0.76346,0.7983,0.98726,0.63227,0.000631964,0.000631964,0.000631964
20,16761.1,0.74617,0.78132,0.98514,0.64315,0.000624351,0.000624351,0.000624351
21,17585.9,0.71734,0.7983,0.98301,0.64474,0.000616738,0.000616738,0.000616738
22,18402.9,0.72456,0.80255,0.98726,0.60073,0.000609125,0.000609125,0.000609125
23,19217.4,0.71031,0.79406,0.98726,0.61505,0.000601512,0.000601512,0.000601512
24,20040.6,0.723,0.81529,0.98726,0.57852,0.000593899,0.000593899,0.000593899
25,20865.1,0.68759,0.82803,0.98726,0.56119,0.000586286,0.000586286,0.000586286
26,21690.3,0.71933,0.80892,0.98726,0.62013,0.000578672,0.000578672,0.000578672
27,22498.2,0.68006,0.82803,0.98514,0.5626,0.000571059,0.000571059,0.000571059
28,23286.9,0.68334,0.83227,0.98301,0.5588,0.000563446,0.000563446,0.000563446
29,24106.8,0.64623,0.81953,0.98938,0.58018,0.000555833,0.000555833,0.000555833
30,24907.4,0.65498,0.82378,0.98514,0.57932,0.00054822,0.00054822,0.00054822
31,25707.7,0.60858,0.82803,0.98514,0.52775,0.000540607,0.000540607,0.000540607
32,26506.7,0.6574,0.81741,0.98938,0.5647,0.000532994,0.000532994,0.000532994
33,27318,0.62621,0.82166,0.98726,0.55883,0.000525381,0.000525381,0.000525381
34,28112.4,0.60411,0.81529,0.98938,0.55103,0.000517768,0.000517768,0.000517768
35,28895.4,0.6262,0.82166,0.98726,0.53427,0.000510155,0.000510155,0.000510155
36,29706.6,0.56277,0.8259,0.98726,0.52422,0.000502541,0.000502541,0.000502541
37,30506.8,0.59983,0.81104,0.98938,0.54539,0.000494928,0.000494928,0.000494928
38,31310.2,0.61292,0.83652,0.98938,0.51861,0.000487315,0.000487315,0.000487315
39,32123,0.60515,0.8535,0.98938,0.50898,0.000479702,0.000479702,0.000479702
40,32915.2,0.59063,0.84713,0.98938,0.49826,0.000472089,0.000472089,0.000472089
41,33702,0.54887,0.83864,0.98514,0.52339,0.000464476,0.000464476,0.000464476
42,34476.1,0.56789,0.84076,0.98514,0.53676,0.000456863,0.000456863,0.000456863
43,35266.5,0.54304,0.83652,0.98514,0.51615,0.00044925,0.00044925,0.00044925
44,36067.8,0.53145,0.84289,0.98514,0.51628,0.000441637,0.000441637,0.000441637
45,36872.9,0.54271,0.84926,0.98726,0.50129,0.000434024,0.000434024,0.000434024
46,37664.4,0.56982,0.83864,0.98301,0.51512,0.000426411,0.000426411,0.000426411
47,38462,0.52812,0.8535,0.98514,0.49778,0.000418797,0.000418797,0.000418797
48,39264.9,0.50539,0.83864,0.98514,0.5423,0.000411184,0.000411184,0.000411184
49,40062.4,0.54346,0.84926,0.98726,0.53178,0.000403571,0.000403571,0.000403571
50,40858.3,0.51467,0.84289,0.98301,0.54397,0.000395958,0.000395958,0.000395958
51,41654.9,0.49768,0.84926,0.98301,0.50439,0.000388345,0.000388345,0.000388345
52,42438.2,0.52609,0.86624,0.98726,0.49356,0.000380732,0.000380732,0.000380732
53,43230.4,0.51131,0.86837,0.98726,0.50594,0.000373119,0.000373119,0.000373119
54,44038.1,0.48141,0.87261,0.98514,0.48096,0.000365506,0.000365506,0.000365506
55,44841.1,0.47829,0.87261,0.98726,0.48548,0.000357893,0.000357893,0.000357893
56,45642.6,0.46398,0.86624,0.98726,0.50666,0.00035028,0.00035028,0.00035028
57,46436.6,0.45238,0.87686,0.98726,0.49993,0.000342666,0.000342666,0.000342666
58,47237.9,0.46395,0.87261,0.98514,0.49158,0.000335053,0.000335053,0.000335053
59,48036.5,0.4799,0.86624,0.98726,0.49838,0.00032744,0.00032744,0.00032744
60,48834.6,0.47415,0.86624,0.98726,0.50606,0.000319827,0.000319827,0.000319827
61,49647.6,0.4549,0.87261,0.98726,0.47929,0.000312214,0.000312214,0.000312214
62,50451.6,0.4368,0.8811,0.98514,0.47109,0.000304601,0.000304601,0.000304601
63,51244.5,0.4567,0.87686,0.98726,0.49427,0.000296988,0.000296988,0.000296988
64,52043.8,0.46804,0.86837,0.98726,0.49282,0.000289375,0.000289375,0.000289375
65,52831.2,0.42643,0.86837,0.98726,0.48087,0.000281762,0.000281762,0.000281762
66,53635.2,0.4683,0.85987,0.98726,0.52295,0.000274148,0.000274148,0.000274148
