Class,Precision,Recall
architectural,0.3684,0.7368
civil,0.5000,0.6667
electrical,0.4000,0.3636
fire_protection,0.6875,1.0000
mechanical,0.7778,0.5385
plumbing,0.5882,0.7143
services_coordination,0.6000,0.7500
site_plan,0.0000,0.0000
structural,0.9139,0.7150

Overall Accuracy,0.7049
