epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3275.76,1.28245,0.82093,0.9593,0.5707,0.000254515,0.000254515,0.000254515
2,6520.44,0.67873,0.88256,0.98953,0.39668,0.000505791,0.000505791,0.000505791
3,9753.09,0.5167,0.88721,0.9907,0.35455,0.000751992,0.000751992,0.000751992
4,12976.7,0.51647,0.90233,0.99186,0.34641,0.000746161,0.000746161,0.000746161
5,16190.9,0.44968,0.93372,0.99651,0.22113,0.000738548,0.000738548,0.000738548
6,19429.1,0.34287,0.94419,0.99419,0.19237,0.000730935,0.000730935,0.000730935
7,22644.1,0.27315,0.95233,0.99884,0.16906,0.000723321,0.000723321,0.000723321
8,25844.5,0.23756,0.96163,1,0.18606,0.000715708,0.000715708,0.000715708
9,29038.8,0.24475,0.9593,0.99651,0.13006,0.000708095,0.000708095,0.000708095
10,32256.3,0.2389,0.9593,0.99884,0.13262,0.000700482,0.000700482,0.000700482
11,35450.6,0.19729,0.9686,0.99884,0.11046,0.000692869,0.000692869,0.000692869
12,38674.8,0.17332,0.97209,1,0.08165,0.000685256,0.000685256,0.000685256
13,41896.9,0.15092,0.98023,0.99884,0.08017,0.000677643,0.000677643,0.000677643
14,45150.5,0.15287,0.98488,1,0.05382,0.00067003,0.00067003,0.00067003
15,48319.6,0.14541,0.97442,0.99884,0.08919,0.000662417,0.000662417,0.000662417
16,51553.4,0.14734,0.97674,0.99884,0.0896,0.000654804,0.000654804,0.000654804
17,54781.9,0.12853,0.99186,1,0.04034,0.00064719,0.00064719,0.00064719
18,57983,0.09682,0.98721,1,0.04077,0.000639577,0.000639577,0.000639577
19,61194.8,0.13221,0.98837,0.99884,0.05228,0.000631964,0.000631964,0.000631964
20,64414.9,0.1178,0.98605,1,0.07255,0.000624351,0.000624351,0.000624351
21,67611.7,0.07424,0.98837,1,0.04972,0.000616738,0.000616738,0.000616738
22,70776.8,0.06799,0.98837,1,0.04285,0.000609125,0.000609125,0.000609125
23,73962.2,0.09855,0.98837,1,0.05615,0.000601512,0.000601512,0.000601512
24,77112.4,0.06261,0.98953,1,0.04429,0.000593899,0.000593899,0.000593899
25,80280.4,0.05726,0.98953,1,0.03313,0.000586286,0.000586286,0.000586286
26,83428.9,0.07186,0.99302,1,0.02364,0.000578672,0.000578672,0.000578672
27,86613.2,0.0594,0.9907,1,0.034,0.000571059,0.000571059,0.000571059
28,89812.1,0.06341,0.98953,1,0.0479,0.000563446,0.000563446,0.000563446
29,93025.7,0.05824,0.99302,1,0.02863,0.000555833,0.000555833,0.000555833
30,96208.9,0.04614,0.99186,1,0.03988,0.00054822,0.00054822,0.00054822
31,99412.1,0.06604,0.9907,0.99884,0.04894,0.000540607,0.000540607,0.000540607
32,102635,0.04211,0.99302,1,0.03358,0.000532994,0.000532994,0.000532994
33,105856,0.05717,0.99302,0.99884,0.04118,0.000525381,0.000525381,0.000525381
34,109063,0.05353,0.98953,1,0.04677,0.000517768,0.000517768,0.000517768
35,112271,0.04517,0.99302,0.99884,0.03795,0.000510155,0.000510155,0.000510155
36,115470,0.04508,0.99419,1,0.03582,0.000502541,0.000502541,0.000502541
37,118637,0.05558,0.99302,1,0.02474,0.000494928,0.000494928,0.000494928
38,121824,0.06485,0.99651,1,0.01575,0.000487315,0.000487315,0.000487315
39,124950,0.05013,0.99419,1,0.0309,0.000479702,0.000479702,0.000479702
40,128128,0.04474,0.98953,1,0.03279,0.000472089,0.000472089,0.000472089
41,131290,0.05362,0.99186,1,0.02803,0.000464476,0.000464476,0.000464476
42,134456,0.04644,0.99419,1,0.02851,0.000456863,0.000456863,0.000456863
43,137636,0.04696,0.99651,1,0.02219,0.00044925,0.00044925,0.00044925
44,140823,0.03969,0.99651,1,0.01375,0.000441637,0.000441637,0.000441637
45,144172,0.03935,0.99535,1,0.03033,0.000434024,0.000434024,0.000434024
46,147537,0.02652,0.99651,0.99884,0.0228,0.000426411,0.000426411,0.000426411
47,151013,0.03637,0.99535,1,0.02823,0.000418797,0.000418797,0.000418797
48,154263,0.02823,0.99535,0.99884,0.02399,0.000411184,0.000411184,0.000411184
49,157494,0.03695,0.99419,0.99884,0.03183,0.000403571,0.000403571,0.000403571
50,160738,0.0396,0.99302,1,0.02204,0.000395958,0.000395958,0.000395958
51,163969,0.04098,0.99302,0.99884,0.02804,0.000388345,0.000388345,0.000388345
52,167200,0.03282,0.99767,1,0.02007,0.000380732,0.000380732,0.000380732
53,170426,0.02998,0.99535,1,0.02125,0.000373119,0.000373119,0.000373119
54,173635,0.02648,0.99767,1,0.02519,0.000365506,0.000365506,0.000365506
55,176828,0.02155,0.99535,0.99884,0.02562,0.000357893,0.000357893,0.000357893
56,180015,0.01503,0.99651,0.99884,0.02989,0.00035028,0.00035028,0.00035028
57,3317.63,0.74624,0.94767,0.99884,0.19749,0.000342666,0.000342666,0.000342666
58,6576.3,0.24575,0.96279,0.99884,0.29279,0.000335053,0.000335053,0.000335053
59,9822.32,0.1291,0.98023,1,0.11445,0.00032744,0.00032744,0.00032744
60,13135.8,0.1021,0.98488,0.99884,0.05563,0.000319827,0.000319827,0.000319827
61,16400.1,0.08615,0.98837,1,0.05247,0.000312214,0.000312214,0.000312214
62,19654.8,0.0653,0.9907,0.99884,0.03824,0.000304601,0.000304601,0.000304601
63,22966.4,0.04562,0.98488,0.99884,0.04539,0.000296988,0.000296988,0.000296988
64,26175.4,0.04308,0.99302,1,0.03383,0.000289375,0.000289375,0.000289375
65,29440.9,0.04687,0.99419,1,0.02332,0.000281762,0.000281762,0.000281762
66,32786.8,0.05125,0.99419,1,0.02818,0.000274148,0.000274148,0.000274148
67,36066,0.03026,0.99419,1,0.02637,0.000266535,0.000266535,0.000266535
68,39335.3,0.02708,0.99419,1,0.02185,0.000258922,0.000258922,0.000258922
69,42585.7,0.03591,0.99651,1,0.01932,0.000251309,0.000251309,0.000251309
70,45828,0.02643,0.99651,1,0.01367,0.000243696,0.000243696,0.000243696
71,49067.6,0.02563,0.99535,1,0.0186,0.000236083,0.000236083,0.000236083
72,52302.9,0.02675,0.99651,1,0.01654,0.00022847,0.00022847,0.00022847
73,55532.6,0.0213,0.99651,1,0.03256,0.000220857,0.000220857,0.000220857
74,58770.4,0.0208,0.99535,1,0.02503,0.000213244,0.000213244,0.000213244
75,61989.4,0.0194,0.99651,1,0.01714,0.000205631,0.000205631,0.000205631
76,65222.8,0.02375,0.99767,1,0.01382,0.000198018,0.000198018,0.000198018
77,68449.2,0.0215,0.99651,1,0.01646,0.000190404,0.000190404,0.000190404
78,71662.2,0.0164,0.99651,1,0.0223,0.000182791,0.000182791,0.000182791
79,74935.1,0.01729,0.99651,1,0.02785,0.000175178,0.000175178,0.000175178
80,78298.1,0.02223,0.99651,1,0.02044,0.000167565,0.000167565,0.000167565
81,81741.8,0.01288,0.99651,1,0.02903,0.000159952,0.000159952,0.000159952
82,85032.4,0.01442,0.99535,1,0.03326,0.000152339,0.000152339,0.000152339
83,88288,0.01267,0.99651,1,0.02755,0.000144726,0.000144726,0.000144726
84,91561.1,0.01093,0.99651,1,0.01796,0.000137113,0.000137113,0.000137113
85,94812.2,0.0141,0.99651,1,0.01865,0.0001295,0.0001295,0.0001295
86,98079.9,0.01093,0.99767,1,0.02162,0.000121887,0.000121887,0.000121887
87,101341,0.01484,0.99767,1,0.0239,0.000114273,0.000114273,0.000114273
88,104597,0.0111,0.99535,1,0.02192,0.00010666,0.00010666,0.00010666
89,107838,0.01572,0.99651,1,0.01814,9.90472e-05,9.90472e-05,9.90472e-05
90,111097,0.00629,0.99651,1,0.01929,9.14341e-05,9.14341e-05,9.14341e-05
91,114320,0.01832,0.99651,1,0.02062,8.3821e-05,8.3821e-05,8.3821e-05
92,117558,0.01762,0.99651,1,0.02013,7.62079e-05,7.62079e-05,7.62079e-05
93,120801,0.01539,0.99651,1,0.01942,6.85948e-05,6.85948e-05,6.85948e-05
94,124031,0.01147,0.99651,1,0.02145,6.09817e-05,6.09817e-05,6.09817e-05
95,127255,0.01363,0.99651,1,0.02014,5.33686e-05,5.33686e-05,5.33686e-05
96,130475,0.0146,0.99651,1,0.02183,4.57555e-05,4.57555e-05,4.57555e-05
97,133691,0.01829,0.99651,1,0.02168,3.81424e-05,3.81424e-05,3.81424e-05
98,136908,0.00758,0.99651,1,0.02259,3.05293e-05,3.05293e-05,3.05293e-05
99,140130,0.00923,0.99651,1,0.02389,2.29162e-05,2.29162e-05,2.29162e-05
100,143372,0.01108,0.99651,1,0.02209,1.53031e-05,1.53031e-05,1.53031e-05
