Class,Precision,Recall,F1-score,Support
architectural,0.9123,0.9123,0.9123,57
civil,1,0.6667,0.8,3
electrical,1,0.9167,0.9565,12
fire_protection,0.8333,0.9091,0.8696,11
mechanical,1,1,1,12
plumbing,0.8571,0.8571,0.8571,7
services_coordination,0.8,0.8,0.8,5
structural,0.9615,0.969,0.9653,129
,,,,
accuracy,,,0.9407,236
macro avg,0.9205,0.8789,0.8951,236
weighted avg,0.9415,0.9407,0.9405,236
