epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,595.509,1.82892,0.5675,0.9375,1.32164,0.000253744,0.000253744,0.000253744
2,1187.53,1.26906,0.58,0.9375,1.15032,0.000505028,0.000505028,0.000505028
3,1818.66,1.14162,0.645,0.955,1.0245,0.000751236,0.000751236,0.000751236
4,2421.36,1.11002,0.675,0.955,0.97895,0.000746161,0.000746161,0.000746161
5,3013.03,1.04248,0.6575,0.9675,0.9612,0.000738548,0.000738548,0.000738548
6,3573.71,1.01572,0.71,0.9725,0.86651,0.000730935,0.000730935,0.000730935
7,4118.19,0.99626,0.7175,0.9725,0.82998,0.000723321,0.000723321,0.000723321
8,4676.88,0.94034,0.6925,0.955,0.95056,0.000715708,0.000715708,0.000715708
9,5226.62,0.88646,0.7125,0.98,0.8597,0.000708095,0.000708095,0.000708095
10,5826.52,0.86068,0.735,0.98,0.76295,0.000700482,0.000700482,0.000700482
11,6394.79,0.86684,0.7525,0.9725,0.73527,0.000692869,0.000692869,0.000692869
12,6963.38,0.86597,0.7475,0.97,0.76791,0.000685256,0.000685256,0.000685256
13,7531.35,0.84497,0.74,0.9675,0.75316,0.000677643,0.000677643,0.000677643
14,8080.49,0.80644,0.7475,0.9675,0.785,0.00067003,0.00067003,0.00067003
15,8626.8,0.78803,0.7575,0.9675,0.78014,0.000662417,0.000662417,0.000662417
16,9186.03,0.77964,0.775,0.9725,0.72271,0.000654804,0.000654804,0.000654804
17,9747.79,0.73767,0.8175,0.97,0.70448,0.00064719,0.00064719,0.00064719
18,10315.7,0.76507,0.7825,0.9725,0.77476,0.000639577,0.000639577,0.000639577
19,10884.2,0.75304,0.8125,0.9725,0.73244,0.000631964,0.000631964,0.000631964
20,11446.1,0.74283,0.8075,0.9775,0.67436,0.000624351,0.000624351,0.000624351
21,12016.2,0.7198,0.81,0.9775,0.71252,0.000616738,0.000616738,0.000616738
22,12606.3,0.68655,0.81,0.975,0.71257,0.000609125,0.000609125,0.000609125
23,13180.8,0.72026,0.795,0.9775,0.69634,0.000601512,0.000601512,0.000601512
24,13764.9,0.6994,0.8,0.9925,0.66994,0.000593899,0.000593899,0.000593899
25,14353.9,0.70735,0.805,0.98,0.68719,0.000586286,0.000586286,0.000586286
26,14941.7,0.65918,0.8225,0.9825,0.66222,0.000578672,0.000578672,0.000578672
27,15535.2,0.66855,0.7975,0.98,0.75791,0.000571059,0.000571059,0.000571059
28,16119.3,0.59334,0.8225,0.975,0.7091,0.000563446,0.000563446,0.000563446
29,16712.8,0.62296,0.8325,0.9775,0.68646,0.000555833,0.000555833,0.000555833
30,17295,0.65421,0.8125,0.98,0.71736,0.00054822,0.00054822,0.00054822
31,17896.4,0.57164,0.8275,0.985,0.68338,0.000540607,0.000540607,0.000540607
32,18501.8,0.60602,0.835,0.9825,0.60642,0.000532994,0.000532994,0.000532994
33,19119.2,0.5965,0.8425,0.9875,0.60099,0.000525381,0.000525381,0.000525381
34,19723,0.57157,0.855,0.985,0.57605,0.000517768,0.000517768,0.000517768
35,20168.4,0.56402,0.8375,0.99,0.61739,0.000510155,0.000510155,0.000510155
36,20550.2,0.57982,0.8425,0.9825,0.58601,0.000502541,0.000502541,0.000502541
37,20938.7,0.56697,0.835,0.9875,0.59233,0.000494928,0.000494928,0.000494928
38,21315.3,0.55885,0.835,0.9875,0.6174,0.000487315,0.000487315,0.000487315
39,21698,0.55832,0.8425,0.9875,0.64507,0.000479702,0.000479702,0.000479702
40,22081.5,0.53944,0.8275,0.9875,0.68149,0.000472089,0.000472089,0.000472089
41,22450.7,0.55794,0.84,0.99,0.61735,0.000464476,0.000464476,0.000464476
42,22831.2,0.52916,0.8625,0.985,0.59581,0.000456863,0.000456863,0.000456863
43,23199.7,0.49457,0.8375,0.9875,0.68282,0.00044925,0.00044925,0.00044925
44,23568.4,0.52484,0.8375,0.98,0.6629,0.000441637,0.000441637,0.000441637
45,23953.3,0.50572,0.855,0.985,0.61683,0.000434024,0.000434024,0.000434024
46,24333.4,0.48182,0.8525,0.9875,0.60803,0.000426411,0.000426411,0.000426411
47,24717.5,0.50458,0.8625,0.9825,0.56078,0.000418797,0.000418797,0.000418797
48,25091.5,0.48926,0.8675,0.985,0.6293,0.000411184,0.000411184,0.000411184
49,25472.2,0.46001,0.865,0.9825,0.53492,0.000403571,0.000403571,0.000403571
50,25840.9,0.46425,0.8575,0.9825,0.53692,0.000395958,0.000395958,0.000395958
51,26216.4,0.50296,0.8575,0.99,0.54756,0.000388345,0.000388345,0.000388345
52,26580.3,0.51558,0.845,0.9825,0.59328,0.000380732,0.000380732,0.000380732
53,26944.6,0.4513,0.8425,0.99,0.56213,0.000373119,0.000373119,0.000373119
54,27335,0.47198,0.865,0.985,0.58,0.000365506,0.000365506,0.000365506
55,27700.8,0.45166,0.86,0.99,0.53983,0.000357893,0.000357893,0.000357893
56,28075.2,0.42515,0.86,0.99,0.53851,0.00035028,0.00035028,0.00035028
57,28437,0.45118,0.85,0.9875,0.56504,0.000342666,0.000342666,0.000342666
58,28813.7,0.44613,0.8525,0.9925,0.55029,0.000335053,0.000335053,0.000335053
59,29175.1,0.45463,0.8625,0.9875,0.54707,0.00032744,0.00032744,0.00032744
60,29549.9,0.42039,0.8725,0.9875,0.55664,0.000319827,0.000319827,0.000319827
61,29914.6,0.44076,0.87,0.99,0.55884,0.000312214,0.000312214,0.000312214
62,30275.3,0.46588,0.8675,0.9925,0.54752,0.000304601,0.000304601,0.000304601
63,30641,0.41827,0.865,0.9925,0.56128,0.000296988,0.000296988,0.000296988
64,31003.1,0.45099,0.875,0.995,0.55978,0.000289375,0.000289375,0.000289375
65,31365.5,0.44012,0.8875,0.995,0.53427,0.000281762,0.000281762,0.000281762
66,31726.7,0.40349,0.88,0.9875,0.54069,0.000274148,0.000274148,0.000274148
67,32085.3,0.38259,0.875,0.9875,0.54292,0.000266535,0.000266535,0.000266535
68,32448.6,0.42436,0.88,0.9875,0.56351,0.000258922,0.000258922,0.000258922
69,32820.6,0.4235,0.86,0.9875,0.61448,0.000251309,0.000251309,0.000251309
70,33180.8,0.42002,0.88,0.99,0.52898,0.000243696,0.000243696,0.000243696
71,33539.9,0.41604,0.8775,0.9825,0.53594,0.000236083,0.000236083,0.000236083
72,33904.3,0.38323,0.855,0.9875,0.57136,0.00022847,0.00022847,0.00022847
73,34268.9,0.4387,0.8675,0.99,0.52479,0.000220857,0.000220857,0.000220857
74,34629.6,0.3717,0.8725,0.9875,0.54447,0.000213244,0.000213244,0.000213244
