Class,Precision,Recall,F1-score,Support
architectural,0.3684,0.7368,0.4912,38
civil,0.5000,0.6667,0.5714,3
electrical,0.4000,0.3636,0.3810,11
fire_protection,0.6875,1.0000,0.8148,11
mechanical,0.7778,0.5385,0.6364,13
plumbing,0.5882,0.7143,0.6452,14
services_coordination,0.6000,0.7500,0.6667,4
site_plan,0.0000,0.0000,0.0000,1
structural,0.9139,0.7150,0.8023,193
accuracy,,,0.7049,288
macro avg,0.5373,0.6094,0.5565,288
weighted avg,0.7798,0.7049,0.7235,288
